AID,SLID,ELID
205,6384,6447
206,6448,6451
207,6452,6455
208,6456,6459
209,6460,6513
210,6514,6517
211,6518,6557
212,6558,6561
213,6562,6565
214,6566,6641
215,6642,6645
216,6646,6715
217,6716,6719
218,6720,6723
219,6724,6727
220,6728,6765
221,6766,6769
222,6770,6773
223,6774,6777
224,6778,6815
225,6816,6819
226,6820,6823
227,6824,6889
228,6890,6893
229,6894,6897
230,6898,6901
231,6902,6949
232,6950,6953
233,6954,6957
234,6958,7013
235,7014,7017
236,7018,7081
237,7082,7085
238,7086,7123
239,7124,7127
240,7128,7171
241,7172,7287
242,7288,7291
243,7292,7409
244,7410,7453
245,7454,7457
246,7458,7497
247,7498,7501
248,7502,7539
249,7540,7573
250,7574,7577
251,7578,7581
252,7582,7639
253,7640,7643
254,7644,7681
255,7682,7685
256,7686,7689
257,7690,7727
258,7728,7777
259,7778,7811
260,7812,7819
261,7820,7823
262,7824,7829
263,7830,7833
264,7834,7837
265,7838,7875
266,7876,7879
267,7880,7885
268,7886,7935
269,7936,7939
270,7940,7945
271,7946,7949
272,7950,7953
273,7954,7957
274,7958,7961
275,7962,8111
276,8112,8115
277,8116,8119
278,8120,8123
279,8124,8205
280,8206,8209
281,8210,8213
282,8214,8251
283,8252,8255
284,8256,8259
285,8260,8297
286,8298,8325
287,8326,8329
288,8330,8363
289,8364,8367
290,8368,8405
291,8406,8445
292,8446,8449
293,8450,8453
294,8454,8457
295,8458,8461
296,8462,8465
297,8466,8517
298,8518,8521
299,8522,8569
300,8570,8573
301,8574,8611
302,8612,8615
303,8616,8653
304,8654,8713
305,8714,8717
306,8718,8721
307,8722,8863
308,8864,8901
309,8902,8905
310,8906,8909
311,8910,8945
312,8946,8949
313,8950,8987
314,8988,8991
315,8992,9043
316,9044,9047
317,9048,9051
318,9052,9079
319,9080,9119
320,9120,9123
321,9124,9151
322,9152,9191
323,9192,9195
324,9196,9199
325,9200,9247
326,9248,9313
327,9314,9317
328,9318,9321
329,9322,9361
330,9362,9381
331,9382,9421
332,9422,9425
333,9426,9465
334,9466,9505
335,9506,9543
336,9544,9547
337,9548,9587
338,9588,9629
339,9630,9671
340,9672,9721
341,9722,9725
342,9726,9763
343,9764,9767
344,9768,9805
345,9806,9809
346,9810,9813
347,9814,9817
348,9818,9821
349,9822,9825
350,9826,9863
351,9864,9867
352,9868,9933
353,9934,9937
354,9938,9941
355,9942,9993
356,9994,9997
357,9998,10001
358,10002,10005
359,10006,10053
360,10054,10089
361,10090,10093
362,10094,10131
363,10132,10167
364,10168,10171
365,10172,10207
366,10208,10211
367,10212,10249
368,10250,10315
369,10316,10377
370,10378,10415
371,10416,10465
372,10466,10469
373,10470,10473
374,10474,10501
375,10502,10505
376,10506,10509
377,10510,10563
378,10564,10605
379,10606,10609
380,10610,10613
381,10614,10617
382,10618,10621
383,10622,10653
384,10654,10685
385,10686,10725
386,10726,10729
387,10730,10775
388,10776,10819
389,10820,10823
390,10824,10865
391,10866,10935
392,10936,10939
393,10940,10943
394,10944,10973
395,10974,10977
396,10978,10981
397,10982,10985
398,10986,11019
399,11020,11023
400,11024,11027
401,11028,11081
402,11082,11139
403,11140,11143
404,11144,11183
405,11184,11247
406,11248,11251
407,11252,11311
408,11312,11363
409,11364,11547
410,11548,11551
411,11552,11555
412,11556,11559
413,11560,11563
414,11564,11567
415,11568,11571
416,11572,11575
417,11576,11595
418,11596,11711
419,11712,11733
420,11734,11761
421,11762,11765
422,11766,11769
423,11770,11807
424,11808,11857
425,11858,11907
426,11908,11911
427,11912,11949
428,11950,11953
429,11954,11995
430,11996,11999
431,12000,12003
432,12004,12007
433,12008,12041
434,12042,12045
435,12046,12049
436,12050,12109
437,12110,12113
438,12114,12173
439,12174,12211
