AID,SLID,ELID
340,35623,35666
341,35667,35760
342,35761,35818
343,35819,35844
344,35845,36076
345,36077,36170
346,36171,36212
347,36213,36336
348,36337,36892
349,36893,36986
350,36987,37068
351,37069,37216
352,37217,37298
353,37299,37346
354,37347,37522
355,37523,37576
356,37577,37752
357,37753,37912
358,37913,37968
359,37969,38034
360,38035,38040
361,38041,38104
362,38105,38264
363,38265,38424
364,38425,38584
365,38585,38638
366,38639,38756
367,38757,38802
368,38803,38920
369,38921,39044
370,39045,39114
371,39115,39254
372,39255,39378
373,39379,39406
374,39407,39456
375,39457,39596
376,39597,39744
377,39745,39850
378,39851,39998
379,39999,40100
380,40101,40194
381,40195,40256
382,40257,40308
383,40309,40316
384,40317,40376
385,40377,40524
386,40525,40592
387,40593,40698
388,40699,40736
389,40737,40842
390,40843,40872
391,40873,40982
392,40983,41024
393,41025,41056
394,41057,41284
395,41285,41314
396,41315,41358
397,41359,41364
398,41365,41404
399,41405,41458
400,41459,41504
401,41505,41572
402,41573,41640
403,41641,41678
404,41679,41738
405,41739,41832
406,41833,42264
407,42265,42286
408,42287,42386
409,42387,42486
410,42487,42552
411,42553,42652
412,42653,42708
413,42709,42820
414,42821,42866
415,42867,42926
416,42927,42960
417,42961,43016
418,43017,43058
419,43059,43116
420,43117,43174
421,43175,43230
422,43231,43242
423,43243,43288
424,43289,43344
425,43345,43400
426,43401,43456
427,43457,43512
428,43513,43554
429,43555,43622
430,43623,43678
431,43679,43706
432,43707,43762
433,43763,43870
434,43871,43940
435,43941,43986
436,43987,44022
437,44023,44078
438,44079,44146
439,44147,44194
440,44195,44246
441,44247,44308
442,44309,44354
443,44355,44420
444,44421,44484
445,44485,44526
446,44527,46158
447,46159,46216
448,46217,46268
449,46269,46328
450,46329,46394
451,46395,46428
452,46429,46476
453,46477,46518
454,46519,46562
455,46563,46790
456,46791,46844
457,46845,46872
458,46873,46938
459,46939,46998
460,46999,47108
461,47109,47146
462,47147,47202
463,47203,47268
464,47269,47334
465,47335,47390
466,47391,47634
467,47635,47680
468,47681,48236
469,48237,48292
470,48293,48352
471,48353,48364
472,48365,48420
473,48421,48470
474,48471,48526
475,48527,48634
476,48635,48700
477,48701,48738
478,48739,48788
479,48789,48816
480,48817,48868
481,48869,48924
482,48925,48974
483,48975,49030
484,49031,49082
485,49083,49138
486,49139,49176
487,49177,49222
488,49223,49278
489,49279,49344
490,49345,49384
491,49385,49434
492,49435,49504
493,49505,49550
494,49551,49602
495,49603,49742
496,49743,49808
497,49809,49870
498,49871,49932
499,49933,49998
500,49999,50054
501,50055,50110
502,50111,50166
503,50167,50226
504,50227,50276
505,50277,50320
506,50321,50360
507,50361,50416
508,50417,50476
509,50477,50540
