AID,SLID,ELID
240,16002,16005
241,16006,16009
242,16010,16013
243,16014,16029
244,16030,16033
245,16034,16093
246,16094,16097
247,16098,16335
248,16336,16403
249,16404,16407
250,16408,16417
251,16418,16449
252,16450,16453
253,16454,16537
254,16538,16661
255,16662,16665
256,16666,16671
257,16672,16675
258,16676,16705
259,16706,16765
260,16766,16799
261,16800,16803
262,16804,16807
263,16808,16811
264,16812,16815
265,16816,16821
266,16822,16825
267,16826,16829
268,16830,16861
269,16862,17211
270,17212,17215
271,17216,17243
272,17244,17271
273,17272,17331
274,17332,17361
275,17362,17365
276,17366,17463
277,17464,17497
278,17498,17525
279,17526,17529
280,17530,17677
281,17678,18033
282,18034,18063
283,18064,18067
284,18068,18881
285,18882,18903
286,18904,18909
287,18910,19245
288,19246,19249
289,19250,19265
290,19266,19269
291,19270,19337
292,19338,19481
293,19482,19491
294,19492,19495
295,19496,19527
296,19528,19643
297,19644,19765
298,19766,19769
299,19770,20129
300,20130,20253
301,20254,20283
302,20284,20377
303,20378,20381
304,20382,20385
305,20386,20417
306,20418,21347
307,21348,21417
308,21418,21421
309,21422,21565
310,21566,21569
311,21570,21601
312,21602,22073
313,22074,22077
314,22078,22107
315,22108,22205
316,22206,22211
317,22212,22227
318,22228,22231
319,22232,22291
320,22292,22295
321,22296,22311
322,22312,22321
323,22322,22331
324,22332,23261
325,23262,23265
326,23266,23289
327,23290,23761
328,23762,23765
329,23766,23769
330,23770,24701
331,24702,24705
332,24706,24709
333,24710,24713
334,24714,24717
335,24718,24861
336,24862,24865
337,24866,24869
338,24870,24885
339,24886,24889
340,24890,25587
341,25588,25621
342,25622,26319
343,26320,26323
344,26324,26351
345,26352,26397
346,26398,26869
347,26870,26991
348,26992,26995
349,26996,26999
350,27000,27129
351,27130,27141
352,27142,27613
353,27614,27969
354,27970,27973
355,27974,27977
356,27978,28007
357,28008,28023
358,28024,28071
359,28072,28075
360,28076,28079
361,28080,28223
362,28224,28227
363,28228,29041
364,29042,29077
365,29078,29413
366,29414,29419
367,29420,29423
368,29424,29433
369,29434,29437
370,29438,29441
371,29442,29445
372,29446,29449
373,29450,29453
374,29454,29483
375,29484,29487
376,29488,29843
377,29844,29903
378,29904,29907
379,29908,29939
380,29940,30083
381,30084,30087
382,30088,30113
383,30114,30145
384,30146,30149
385,30150,30153
386,30154,30157
387,30158,30161
388,30162,30309
389,30310,30313
390,30314,30317
391,30318,30321
392,30322,30331
393,30332,30363
394,30364,30367
395,30368,30377
396,30378,30407
397,30408,30419
398,30420,30423
399,30424,30427
400,30428,30433
401,30434,30445
402,30446,30569
403,30570,30581
404,30582,30585
405,30586,30589
406,30590,30945
407,30946,31301
408,31302,31305
409,31306,31661
410,31662,32017
411,32018,32087
412,32088,32443
413,32444,32779
414,32780,32783
415,32784,32973
416,32974,33117
417,33118,33307
418,33308,33337
419,33338,33361
420,33362,33365
421,33366,33369
422,33370,33373
423,33374,33377
424,33378,33381
425,33382,33385
426,33386,33417
427,33418,33421
428,33422,33453
429,33454,33457
430,33458,33695
431,33696,33727
432,33728,33757
433,33758,33761
434,33762,33849
435,33850,33875
436,33876,34019
437,34020,34023
438,34024,34027
439,34028,34051
440,34052,34055
441,34056,34091
442,34092,34095
443,34096,34099
444,34100,34103
445,34104,34135
446,34136,34171
447,34172,34175
448,34176,34209
449,34210,34213
450,34214,34217
451,34218,34221
452,34222,34225
453,34226,34229
454,34230,34233
455,34234,34317
456,34318,34321
457,34322,34349
458,34350,34353
459,34354,34379
460,34380,34383
461,34384,34387
462,34388,34415
463,34416,34445
464,34446,34469
465,34470,34499
466,34500,34503
467,34504,34507
468,34508,34533
469,34534,34655
470,34656,34679
471,34680,34685
472,34686,34715
473,34716,34741
474,34742,34771
475,34772,34801
476,34802,34805
477,34806,34809
478,34810,34859
479,34860,34863
480,34864,34891
481,34892,34923
482,34924,34983
483,34984,35011
484,35012,35015
485,35016,35045
486,35046,35077
487,35078,35221
488,35222,35249
489,35250,36179
490,36180,36651
491,36652,36677
492,36678,36703
493,36704,36709
494,36710,36737
495,36738,36741
496,36742,36771
497,36772,36799
498,36800,36895
499,36896,36899
500,36900,37001
501,37002,37005
502,37006,37037
503,37038,37041
504,37042,37073
505,37074,37157
506,37158,37189
507,37190,37193
508,37194,37197
509,37198,37201
510,37202,37205
511,37206,37209
512,37210,37239
513,37240,37243
514,37244,37247
515,37248,37251
